delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,delivery_date,expected_delivery_hours,actual_delivery_hours
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,no,delivered,3,1632.7206,2025-01-17 16:39:00,8.8,8.4
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,no,delivered,5,640.17,2025-03-21 12:51:00,2.5,2.1
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,no,delivered,4,1448.17,2025-01-16 15:12:00,7.6,7.0
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,no,delivered,3,1486.57,2025-01-18 13:58:00,8.1,7.9
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,no,delivered,4,1394.56,2025-05-14 16:43:00,7.1,6.8
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,yes,delayed,3,391.45,2025-05-23 13:07:00,1.3,2.4
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,no,delivered,3,1222.87,2025-06-01 12:30:00,5.4,5.4
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,no,delivered,3,800.89,2025-03-09 08:55:00,3.7,3.3
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,no,delivered,5,854.18,2025-05-22 15:24:00,4.4,4.1
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,no,delivered,5,423.34,2025-05-29 13:26:00,1.7,1.7
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,no,delivered,4,1632.15,2025-03-23 09:05:00,8.7,8.2
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,no,delivered,5,541.44,2025-04-11 18:03:00,2.9,2.4
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,no,delivered,4,1350.18,2025-06-05 17:16:00,7.6,7.4
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,yes,failed,1,155.08,2025-04-25 08:45:00,0.6,1.3
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,no,delivered,3,1263.27,2025-05-07 10:04:00,6.8,6.6
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,yes,delayed,3,1281.51,2025-06-25 12:53:00,7.1,9.2
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,no,delivered,5,397.19,2025-05-03 16:45:00,2.8,2.2
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,no,delivered,5,990.36,2025-02-05 11:28:00,4.7,4.6
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,no,delivered,3,651.1,2025-04-01 06:32:00,2.9,2.7
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,yes,failed,2,388.09,2025-01-28 16:40:00,2.0,5.2
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,no,delivered,4,986.8,2025-06-16 16:21:00,5.8,5.3
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,no,delivered,4,1131.74,2025-06-25 11:19:00,5.9,5.4
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,no,delivered,5,1293.05,2025-06-13 11:04:00,6.9,6.4
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,no,delivered,4,1363.2,2025-03-26 17:11:00,7.3,7.1
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,no,delivered,5,1091.51,2025-03-25 07:41:00,5.8,5.7
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,no,delivered,4,578.59,2025-03-28 10:13:00,3.1,2.5
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,yes,delayed,3,1632.7206,2025-04-13 15:56:00,9.2,10.9
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3,1574.01,2025-03-21 08:49:00,8.6,8.2
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,no,delivered,5,874.8,2025-04-24 15:05:00,4.0,3.9
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,no,delivered,5,1475.36,2025-02-26 16:49:00,9.2,8.7
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,no,delivered,5,1534.04,2025-03-20 17:50:00,8.7,8.1
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,yes,failed,1,1235.37,2025-03-12 18:17:00,6.9,9.5
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,yes,failed,1,1402.69,2025-02-13 15:38:00,6.8,9.9
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,no,delivered,5,243.66,2025-01-26 17:11:00,1.1,1.0
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,yes,delayed,2,595.53,2025-05-26 06:47:00,2.6,4.4
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,no,delivered,4,356.43,2025-05-23 16:39:00,1.1,0.7
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,yes,delayed,2,298.16,2025-03-27 15:16:00,2.1,5.5
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,no,delivered,5,1321.0,2025-05-22 13:27:00,7.3,6.9
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,no,delivered,3,456.74,2025-04-02 13:02:00,2.1,2.1
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,no,delivered,4,701.55,2025-01-26 09:06:00,3.1,2.8
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,no,delivered,5,834.87,2025-03-21 15:39:00,3.9,3.8
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,yes,delayed,3,206.74,2025-03-27 17:33:00,0.6,3.5
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,no,delivered,5,1317.61,2025-01-15 16:34:00,7.8,7.2
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,no,delivered,3,1290.71,2025-04-25 13:33:00,7.3,7.3
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,no,delivered,4,157.38,2025-01-17 13:47:00,0.5,0.4
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,no,delivered,4,970.6,2025-02-25 14:01:00,5.4,4.9
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,no,delivered,3,1005.12,2025-03-04 12:58:00,5.2,4.6
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,no,delivered,4,984.38,2025-02-08 09:24:00,6.0,5.6
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,yes,failed,1,589.16,2025-06-29 17:02:00,2.1,3.4
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,no,delivered,4,378.35,2025-02-12 17:03:00,1.5,1.4
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,no,delivered,5,324.08,2025-06-04 09:55:00,0.9,0.9
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,yes,delayed,2,1214.17,2025-02-23 12:39:00,6.5,7.1
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,no,delivered,4,856.8,2025-01-23 13:30:00,4.8,4.4
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,no,delivered,4,1161.37,2025-05-22 19:39:00,5.4,5.2
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,no,delivered,5,1065.7,2025-03-16 11:25:00,5.1,5.0
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,no,delivered,5,1066.02,2025-05-28 10:10:00,5.4,5.3
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,no,delivered,5,1200.32,2025-03-02 06:06:00,6.0,5.9
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,no,delivered,5,484.65,2025-01-17 16:43:00,1.9,1.5
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,no,delivered,4,1045.11,2025-05-07 12:43:00,6.0,5.8
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,no,delivered,5,437.93,2025-01-30 18:30:00,2.8,2.3
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,no,delivered,5,289.36,2025-06-19 08:29:00,1.1,0.8
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,no,delivered,3,1370.53,2025-05-07 12:26:00,7.0,6.8
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,yes,delayed,2,1315.6,2025-01-31 11:14:00,6.8,10.3
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,yes,delayed,2,1292.86,2025-02-24 15:37:00,7.1,7.9
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,no,delivered,5,668.59,2025-04-20 11:57:00,3.8,3.3
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,no,delivered,4,1287.23,2025-01-16 10:07:00,6.6,6.1
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,yes,failed,2,555.64,2025-03-03 19:21:00,3.1,4.8
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,no,delivered,4,632.88,2025-06-14 12:41:00,2.4,2.3
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,yes,delayed,2,736.82,2025-03-24 09:45:00,3.0,5.9
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,no,delivered,5,1195.59,2025-06-25 09:46:00,6.4,6.3
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,no,delivered,3,460.75,2025-02-17 16:47:00,2.2,2.1
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,no,delivered,5,173.54,2025-03-23 16:16:00,1.3,1.0
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,yes,delayed,3,526.11,2025-01-15 07:26:00,1.9,5.0
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,yes,delayed,3,885.11,2025-06-13 07:27:00,4.2,6.2
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,no,delivered,4,599.99,2025-05-08 08:43:00,3.3,2.9
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,no,delivered,4,1152.79,2025-02-25 17:34:00,5.8,5.3
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,yes,delayed,3,272.8,2025-04-09 08:27:00,0.8,2.3
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,no,delivered,4,1070.19,2025-06-05 06:45:00,6.1,6.0
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,no,delivered,4,604.06,2025-03-31 16:39:00,2.9,2.6
250.99,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,yes,delayed,2,398.73,2025-03-20 10:37:00,1.8,4.2
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,yes,delayed,3,470.66,2025-01-26 14:05:00,2.6,5.3
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,no,delivered,5,470.79,2025-04-28 14:05:00,2.1,2.1
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,yes,failed,2,1458.24,2025-05-18 11:47:00,7.4,9.2
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,no,delivered,4,551.44,2025-01-08 08:29:00,3.3,2.9
250.99,shadowfax,electronics,van,two day,south,clear,244.0,13.62,no,delivered,4,1260.86,2025-02-04 10:39:00,7.1,6.7
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,no,delivered,4,498.31,2025-01-27 15:06:00,2.3,1.8
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,no,delivered,4,172.6,2025-02-01 14:47:00,0.5,0.4
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,no,delivered,3,95.6674,2025-01-31 10:55:00,0.5,0.4
250.99,xpressbees,documents,van,standard,east,rainy,111.0,36.68,no,delivered,4,665.04,2025-06-29 14:26:00,3.5,3.5
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,yes,delayed,3,1432.59,2025-03-04 14:35:00,7.7,10.7
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,no,delivered,5,1049.98,2025-02-23 06:09:00,4.8,4.5
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,no,delivered,4,1045.27,2025-06-23 11:28:00,6.0,6.0
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,no,delivered,5,743.23,2025-03-26 16:03:00,3.9,3.5
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,no,delivered,4,520.63,2025-01-15 09:29:00,2.6,2.0
250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,no,delivered,4,1065.84,2025-05-02 12:26:00,5.6,5.2
250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,no,delivered,5,1013.37,2025-06-19 08:34:00,5.4,4.9
250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,no,delivered,5,277.66,2025-04-09 12:48:00,0.8,0.6
250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,yes,delayed,2,1016.88,2025-02-18 19:19:00,4.4,7.8
250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,no,delivered,5,1062.21,2025-04-09 13:50:00,4.6,4.6
250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,yes,delayed,2,717.99,2025-03-21 09:01:00,3.4,5.0
250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,no,delivered,5,729.91,2025-03-07 17:00:00,3.3,2.8
250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,no,delivered,4,1323.84,2025-06-12 13:08:00,6.9,6.9
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,no,delivered,5,738.52,2025-02-24 13:18:00,3.4,3.2
250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,no,delivered,5,494.92,2025-01-20 15:40:00,2.6,2.1
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,no,delivered,5,1322.21,2025-01-22 09:14:00,7.1,7.1
250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,no,delivered,4,1632.7206,2025-04-30 16:43:00,8.5,8.2
250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,no,delivered,5,412.45,2025-06-19 16:19:00,1.7,1.6
250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,no,delivered,5,657.46,2025-01-20 14:54:00,3.4,3.0
250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,no,delivered,4,203.23,2025-06-26 09:14:00,0.5,0.4
250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,yes,failed,2,898.65,2025-01-07 07:33:00,4.5,7.3
250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,no,delivered,4,560.07,2025-04-09 11:18:00,3.1,2.9
250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,yes,failed,2,1305.19,2025-05-31 12:48:00,6.9,9.8
250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,no,delivered,4,1376.46,2025-06-24 10:12:00,7.5,7.0
250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,no,delivered,3,210.9,2025-06-22 14:17:00,1.5,1.1
250.99,fedex,documents,van,express,central,stormy,259.3,27.01,yes,failed,1,1427.53,2025-04-23 13:54:00,7.6,10.2
250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,no,delivered,5,561.77,2025-02-16 19:56:00,1.5,1.3
